Farm_ID,Year,State,Crop_Type,Season,Area_Planted_Hectares,Avg_Temperature_C,Total_Rainfall_mm,Humidity_Percent,Soil_pH,Nitrogen_Content_ppm,Phosphorus_Content_ppm,Potassium_Content_ppm,Organic_Matter_Percent,Soil_Quality_Score,Fertilizer_Used_kg_per_hectare,Fertilizer_Type,Pesticide_Used_kg_per_hectare,Irrigation_Type,Irrigation_Frequency_per_month,Seed_Variety,Yield_per_Hectare_tons,Total_Yield_tons
IND_MAD_0011,2019,Madhya Pradesh,Cotton,Kharif,4.58,26.8,979.4,50.9,7.7,61.3,12.1,130.2,2.9,6.7,58.0,Mixed,8.3,Tube well,25,Traditional,0.13,0.6
IND_AND_0012,2020,Andhra Pradesh,Sunflower,Rabi,3.95,36.4,732.0,68.7,6.9,44.8,10.2,158.0,3.8,5.4,127.4,Urea,9.3,Tube well,24,Desi,0.29,1.15
IND_PUN_0013,2023,Punjab,Barley,Rabi,3.05,29.5,758.8,46.8,7.4,39.2,14.6,158.1,3.0,7.3,194.6,Organic,10.4,Sprinkler,34,High Yielding Variety,0.85,2.59
IND_AND_0014,2022,Andhra Pradesh,Sugarcane,Annual,4.31,36.8,642.3,84.3,6.5,46.6,23.3,178.8,4.3,7.0,89.9,NPK,3.6,Canal,11,Traditional,16.21,69.87
IND_HAR_0015,2021,Haryana,Rice,Kharif,7.69,33.8,570.9,63.4,7.2,52.4,17.9,245.2,3.3,7.0,77.2,Mixed,10.4,Drip,31,Hybrid,1.11,8.54
IND_HAR_0016,2023,Haryana,Mustard,Rabi,10.86,16.3,674.9,64.7,7.1,24.8,7.9,134.4,3.5,8.3,70.2,DAP,8.9,Tube well,12,Traditional,0.56,6.08
IND_GUJ_0017,2018,Gujarat,Sugarcane,Annual,1.23,33.5,894.0,61.5,7.3,21.3,22.9,169.6,3.7,8.7,64.9,NPK,3.3,Sprinkler,15,High Yielding Variety,54.04,66.47
IND_MAH_0018,2022,Maharashtra,Sugarcane,Annual,4.03,37.3,1130.6,65.2,8.5,41.9,29.1,183.4,3.3,6.8,150.4,Organic,4.1,Rain-fed,0,High Yielding Variety,32.88,132.51
IND_HAR_0019,2019,Haryana,Barley,Rabi,6.06,25.3,539.9,60.8,7.8,15.6,16.2,188.1,2.9,6.7,91.4,DAP,11.4,Tube well,16,Desi,0.62,3.76
IND_GUJ_0020,2019,Gujarat,Sugarcane,Annual,3.43,21.1,618.8,81.4,7.8,10.7,21.5,126.8,3.5,6.4,115.4,Organic,10.5,Sprinkler,35,Traditional,24.9,85.41
IND_GUJ_0021,2019,Gujarat,Groundnut,Kharif,0.6,23.4,450.1,56.7,8.5,39.9,9.9,182.1,4.5,8.6,59.2,Mixed,5.6,Canal,25,Hybrid,1.11,0.67
IND_WES_0022,2019,West Bengal,Rice,Kharif,1.58,22.2,1292.9,78.6,7.9,23.9,19.5,40.0,2.0,7.5,70.1,Mixed,16.2,Canal,18,High Yielding Variety,1.41,2.23
IND_WES_0023,2019,West Bengal,Wheat,Rabi,2.12,26.9,1700.7,76.0,8.2,35.1,12.1,166.2,3.0,7.1,122.8,Organic,6.1,Sprinkler,22,Desi,1.11,2.35
IND_WES_0024,2020,West Bengal,Wheat,Rabi,4.32,27.0,1714.6,90.0,5.4,33.2,24.7,159.8,2.3,7.6,100.3,Urea,5.1,Sprinkler,16,High Yielding Variety,1.64,7.08
IND_AND_0025,2019,Andhra Pradesh,Maize,Kharif,3.71,35.3,1026.5,69.5,7.9,42.6,13.4,130.4,3.4,8.0,119.2,DAP,8.6,Sprinkler,19,Desi,1.13,4.19
IND_MAH_0026,2021,Maharashtra,Cotton,Kharif,1.82,26.8,1144.6,57.8,8.2,44.9,26.5,195.7,2.8,8.0,107.6,Urea,9.6,Rain-fed,0,High Yielding Variety,0.18,0.33
IND_MAD_0027,2018,Madhya Pradesh,Maize,Kharif,3.19,33.2,869.1,66.0,6.3,20.4,29.3,177.7,3.3,8.1,119.5,DAP,3.5,Rain-fed,0,Hybrid,0.92,2.93
IND_AND_0028,2021,Andhra Pradesh,Cotton,Kharif,1.65,31.9,1032.6,68.4,6.9,40.0,15.5,121.2,3.0,7.6,99.7,Organic,5.6,Rain-fed,0,Hybrid,0.21,0.35
IND_PUN_0029,2021,Punjab,Maize,Kharif,2.21,31.3,778.9,45.9,6.6,32.4,22.5,201.6,3.5,8.0,119.2,NPK,3.0,Sprinkler,19,Hybrid,2.62,5.79
IND_WES_0030,2023,West Bengal,Maize,Kharif,2.42,22.7,1295.1,77.6,6.5,41.2,32.3,146.2,3.1,8.6,104.0,Urea,9.1,Canal,23,Hybrid,1.77,4.28
IND_GUJ_0031,2018,Gujarat,Groundnut,Kharif,3.2,41.3,613.9,52.3,8.5,46.5,37.2,123.1,3.5,7.6,207.6,Mixed,4.0,Tube well,20,High Yielding Variety,1.16,3.71
IND_WES_0032,2022,West Bengal,Rice,Kharif,1.8,28.0,1482.7,68.9,7.3,39.1,35.0,183.3,2.3,6.7,139.7,NPK,1.4,Drip,23,Hybrid,3.56,6.41
IND_WES_0033,2023,West Bengal,Jute,Kharif,5.36,34.8,1320.3,71.2,5.7,51.2,19.1,193.3,1.5,7.1,120.2,NPK,8.2,Rain-fed,0,Desi,0.98,5.25
IND_HAR_0034,2018,Haryana,Wheat,Rabi,10.49,25.0,395.2,61.2,7.7,43.5,11.0,96.3,3.8,8.4,90.1,Urea,15.8,Drip,19,Traditional,2.56,26.85
IND_WES_0035,2021,West Bengal,Jute,Kharif,5.36,29.2,1648.8,75.5,7.0,46.7,25.2,197.9,2.0,8.6,162.3,Mixed,0.0,Rain-fed,0,Traditional,1.56,8.36
IND_MAD_0036,2023,Madhya Pradesh,Soybean,Kharif,0.5,39.7,809.0,75.0,7.3,54.5,9.0,90.4,2.8,7.8,118.7,Urea,0.0,Tube well,16,High Yielding Variety,0.81,0.4
IND_BIH_0037,2020,Bihar,Maize,Kharif,0.5,21.4,1064.4,66.7,7.5,23.7,15.9,112.9,2.7,8.7,80.6,Mixed,10.5,Drip,21,Traditional,1.14,0.57
IND_TAM_0038,2018,Tamil Nadu,Rice,Kharif,1.41,27.7,844.4,74.1,6.3,28.4,10.4,218.8,2.8,6.3,128.6,NPK,7.4,Drip,16,High Yielding Variety,2.11,2.98
IND_UTT_0039,2019,Uttar Pradesh,Sugarcane,Annual,4.23,21.7,725.6,67.6,7.0,8.0,7.9,197.8,4.1,7.2,143.1,Urea,9.6,Sprinkler,32,High Yielding Variety,65.63,277.61
IND_HAR_0040,2022,Haryana,Barley,Rabi,12.48,18.1,506.6,43.9,7.4,25.9,8.6,127.4,1.9,10.0,155.3,Organic,8.0,Drip,33,Hybrid,3.95,49.3
IND_UTT_0041,2018,Uttar Pradesh,Sugarcane,Annual,3.15,29.7,1047.3,51.4,6.3,32.7,13.0,101.6,3.5,9.8,64.1,DAP,10.8,Rain-fed,0,Hybrid,49.58,156.18
IND_MAD_0042,2022,Madhya Pradesh,Cotton,Kharif,2.03,22.5,771.1,60.5,6.5,38.2,19.6,141.6,2.1,6.6,150.2,DAP,10.5,Rain-fed,0,Hybrid,0.17,0.35
IND_UTT_0043,2019,Uttar Pradesh,Barley,Rabi,3.2,29.4,768.0,67.5,6.6,41.8,13.9,86.8,1.5,7.6,130.4,NPK,3.5,Drip,28,Hybrid,0.89,2.85
IND_UTT_0044,2021,Uttar Pradesh,Barley,Rabi,0.5,21.1,888.7,53.5,7.2,24.7,16.9,185.2,2.3,8.5,74.8,DAP,10.6,Rain-fed,0,Desi,0.69,0.34
IND_WES_0045,2020,West Bengal,Mustard,Rabi,0.5,26.5,1943.6,68.6,7.5,27.8,20.7,144.6,3.7,8.1,133.5,DAP,5.9,Tube well,15,High Yielding Variety,0.54,0.27
IND_AND_0046,2020,Andhra Pradesh,Rice,Kharif,2.13,27.0,988.7,77.3,8.5,45.5,17.4,192.0,2.5,4.9,79.7,Urea,0.0,Sprinkler,32,Traditional,1.14,2.43
IND_HAR_0047,2019,Haryana,Mustard,Rabi,8.07,20.6,664.9,76.8,7.9,8.5,21.9,177.0,1.6,9.4,133.5,Mixed,5.9,Drip,16,High Yielding Variety,1.3,10.49
IND_AND_0048,2021,Andhra Pradesh,Groundnut,Kharif,7.54,40.1,973.2,71.3,6.4,45.0,13.2,152.5,2.4,7.9,133.3,NPK,13.2,Canal,20,Hybrid,0.5,3.77
IND_PUN_0049,2022,Punjab,Barley,Rabi,6.92,30.9,460.0,50.2,7.9,23.9,27.0,197.4,3.1,10.0,89.0,NPK,1.8,Rain-fed,0,Hybrid,0.82,5.67
IND_AND_0050,2022,Andhra Pradesh,Groundnut,Kharif,5.99,32.3,1068.4,77.2,6.2,64.3,21.0,153.8,3.4,7.9,129.0,Organic,4.0,Canal,17,Traditional,0.64,3.83
IND_KAR_0051,2022,Karnataka,Sugarcane,Annual,6.76,27.5,1189.2,85.8,6.3,33.5,20.4,188.3,1.4,8.8,113.7,Mixed,5.9,Sprinkler,27,Hybrid,74.84,505.92
IND_RAJ_0052,2020,Rajasthan,Wheat,Rabi,0.5,31.1,563.9,47.1,6.0,31.0,33.4,140.9,1.6,6.5,109.1,Organic,0.0,Sprinkler,33,Traditional,1.11,0.56
IND_TAM_0053,2022,Tamil Nadu,Sugarcane,Annual,2.54,33.7,1116.1,80.6,7.0,21.7,40.6,152.1,2.8,7.1,127.9,Mixed,7.3,Tube well,10,Traditional,44.06,111.91
IND_MAD_0054,2018,Madhya Pradesh,Soybean,Kharif,1.91,18.9,883.2,52.9,7.3,31.9,32.0,57.2,3.7,8.8,37.1,NPK,6.3,Rain-fed,0,Hybrid,0.43,0.82
IND_WES_0055,2018,West Bengal,Maize,Kharif,0.5,30.4,1527.0,68.8,8.0,50.3,25.8,110.5,2.4,8.4,71.1,Organic,11.6,Sprinkler,34,High Yielding Variety,1.38,0.69
IND_AND_0056,2019,Andhra Pradesh,Chillies,Kharif,2.25,37.0,1013.4,72.1,8.2,22.0,24.9,170.8,2.6,7.7,70.0,Organic,12.6,Rain-fed,0,Desi,0.29,0.65
IND_AND_0057,2018,Andhra Pradesh,Rice,Kharif,1.95,28.7,727.8,83.4,5.8,42.3,9.8,211.4,1.1,9.3,128.4,DAP,7.5,Rain-fed,0,Hybrid,1.48,2.89
IND_BIH_0058,2022,Bihar,Rice,Kharif,3.8,35.6,1243.7,61.1,7.3,30.6,19.5,160.8,1.4,6.0,149.7,Organic,8.9,Canal,22,Hybrid,1.43,5.43
IND_MAD_0059,2021,Madhya Pradesh,Soybean,Kharif,3.04,22.1,763.4,63.5,7.4,23.3,23.3,90.4,3.6,7.9,130.2,DAP,12.9,Sprinkler,32,Desi,1.15,3.5
IND_BIH_0060,2020,Bihar,Pulses,Kharif,5.03,23.2,1457.2,41.6,6.0,27.5,20.2,168.1,2.2,7.8,89.8,Mixed,4.9,Rain-fed,0,Traditional,0.18,0.91
IND_TAM_0061,2021,Tamil Nadu,Cotton,Kharif,1.15,35.8,948.6,64.2,6.3,66.6,23.9,156.5,2.1,7.9,97.0,NPK,8.6,Drip,22,Traditional,0.39,0.45
IND_KAR_0062,2019,Karnataka,Maize,Kharif,2.81,26.3,1216.7,74.7,8.5,27.5,34.5,174.8,2.4,7.8,158.9,Urea,11.1,Sprinkler,19,Hybrid,1.28,3.6
IND_AND_0063,2021,Andhra Pradesh,Sugarcane,Annual,1.55,40.5,582.1,73.0,7.1,42.4,21.4,103.3,3.1,8.0,142.4,Mixed,13.4,Sprinkler,27,High Yielding Variety,37.24,57.72
IND_AND_0064,2020,Andhra Pradesh,Groundnut,Kharif,3.92,28.5,793.7,78.4,7.4,38.3,9.8,112.2,3.6,7.3,147.3,Mixed,8.1,Rain-fed,0,Desi,0.69,2.7
IND_BIH_0065,2019,Bihar,Jute,Kharif,4.88,20.7,1298.1,54.8,6.8,31.3,21.8,133.2,3.8,6.5,112.5,Urea,5.8,Drip,28,Desi,1.24,6.05
IND_AND_0066,2023,Andhra Pradesh,Sugarcane,Annual,3.39,29.7,875.5,77.1,8.0,36.0,28.5,131.9,3.9,10.0,105.5,Organic,5.8,Sprinkler,19,High Yielding Variety,101.72,344.83
IND_RAJ_0067,2018,Rajasthan,Wheat,Rabi,6.16,22.2,199.7,54.8,6.0,24.0,12.0,123.1,2.8,7.1,182.0,Organic,3.0,Rain-fed,0,Hybrid,1.23,7.58
IND_UTT_0068,2020,Uttar Pradesh,Potato,Rabi,2.57,36.9,880.4,48.8,7.5,37.0,23.9,160.1,4.8,6.7,98.8,NPK,4.9,Drip,25,Desi,5.57,14.31
IND_AND_0069,2021,Andhra Pradesh,Rice,Kharif,1.73,25.0,1081.5,84.5,8.5,28.2,13.3,166.5,2.4,8.1,128.1,Urea,0.4,Canal,19,Hybrid,3.24,5.61
IND_MAD_0070,2019,Madhya Pradesh,Wheat,Rabi,6.59,20.2,1126.5,53.9,6.9,38.4,22.7,173.0,4.4,7.1,88.1,DAP,1.1,Canal,12,Hybrid,1.17,7.71
IND_TAM_0071,2021,Tamil Nadu,Sugarcane,Annual,2.93,26.2,910.1,89.4,6.7,37.7,19.9,191.6,4.8,6.5,100.4,DAP,13.2,Drip,20,High Yielding Variety,65.21,191.07
IND_MAH_0072,2020,Maharashtra,Cotton,Kharif,6.69,25.3,1102.9,65.9,8.2,44.8,24.1,187.3,3.7,8.9,145.9,Urea,7.2,Sprinkler,27,Hybrid,0.31,2.07
IND_RAJ_0073,2018,Rajasthan,Barley,Rabi,5.41,19.8,518.1,51.8,7.2,50.3,21.5,151.6,1.7,7.7,145.8,Mixed,18.8,Rain-fed,0,Traditional,0.68,3.68
IND_HAR_0074,2020,Haryana,Barley,Rabi,8.88,31.2,539.4,59.0,7.5,42.3,21.5,134.4,3.0,9.3,78.9,Urea,8.7,Drip,17,Traditional,0.89,7.9
IND_AND_0075,2021,Andhra Pradesh,Maize,Kharif,5.39,24.8,1022.9,62.8,6.7,39.5,32.5,147.7,2.4,9.6,62.1,DAP,0.0,Rain-fed,0,Desi,1.1,5.93
IND_AND_0076,2022,Andhra Pradesh,Groundnut,Kharif,2.0,36.5,632.5,77.0,6.7,19.6,27.0,172.8,2.7,9.5,77.2,Organic,0.4,Rain-fed,0,Desi,0.54,1.08
IND_AND_0077,2020,Andhra Pradesh,Chillies,Kharif,2.91,40.1,638.0,76.9,6.1,52.3,19.3,189.1,3.1,7.8,142.8,Organic,10.2,Tube well,10,Traditional,1.06,3.08
IND_WES_0078,2020,West Bengal,Mustard,Rabi,5.66,23.7,1226.0,76.6,7.8,33.9,31.5,126.3,4.2,7.8,62.8,DAP,8.6,Drip,20,Desi,0.4,2.26
IND_KAR_0079,2020,Karnataka,Sunflower,Rabi,4.68,26.0,964.2,69.8,6.8,8.0,7.3,176.6,3.4,7.5,81.3,Mixed,7.8,Rain-fed,0,Traditional,0.31,1.45
IND_PUN_0080,2018,Punjab,Rice,Kharif,3.37,27.4,681.0,57.8,7.2,37.5,5.0,141.3,2.3,7.0,108.8,Organic,17.0,Sprinkler,30,Hybrid,2.23,7.52
IND_MAD_0081,2018,Madhya Pradesh,Sugarcane,Annual,1.86,22.0,662.7,65.7,8.5,46.1,20.5,127.4,3.4,7.8,155.8,NPK,11.2,Tube well,20,Hybrid,39.66,73.77
IND_MAD_0082,2022,Madhya Pradesh,Cotton,Kharif,1.93,19.9,1136.9,73.2,7.4,59.9,14.5,210.8,3.0,6.5,100.6,NPK,6.4,Sprinkler,32,Traditional,0.12,0.23
IND_BIH_0083,2020,Bihar,Maize,Kharif,4.05,31.9,1249.1,54.3,8.5,40.2,20.3,154.2,3.3,6.4,109.7,Mixed,0.0,Tube well,18,High Yielding Variety,1.01,4.09
IND_BIH_0084,2023,Bihar,Wheat,Rabi,4.29,33.4,1212.7,47.7,5.9,37.7,28.4,208.9,2.4,8.9,118.5,NPK,7.1,Drip,18,Hybrid,1.64,7.04
IND_WES_0085,2018,West Bengal,Potato,Rabi,4.3,33.9,1368.5,62.4,8.5,51.6,15.0,163.9,3.2,8.1,98.0,NPK,4.6,Rain-fed,0,Hybrid,6.41,27.56
IND_PUN_0086,2023,Punjab,Maize,Kharif,12.69,19.9,748.3,67.7,5.0,48.8,6.1,137.3,1.9,6.6,166.4,Urea,5.7,Rain-fed,0,Desi,1.64,20.81
IND_PUN_0087,2021,Punjab,Sugarcane,Annual,7.81,19.7,429.4,64.8,7.3,19.6,28.0,132.7,1.6,7.7,180.0,Organic,12.3,Tube well,9,Traditional,30.73,240.0
IND_HAR_0088,2021,Haryana,Mustard,Rabi,6.6,16.7,607.7,56.8,8.5,39.6,23.4,186.1,3.0,7.7,112.1,Mixed,7.6,Canal,12,Hybrid,0.65,4.29
IND_MAH_0089,2018,Maharashtra,Sugarcane,Annual,4.46,20.8,497.7,60.5,7.9,34.0,20.6,80.1,3.5,7.6,159.9,Mixed,0.0,Sprinkler,34,Hybrid,43.32,193.21
IND_AND_0090,2020,Andhra Pradesh,Sugarcane,Annual,2.72,26.5,518.0,83.9,6.3,42.4,11.6,128.2,4.3,7.1,128.7,NPK,12.4,Rain-fed,0,Desi,23.97,65.2
IND_RAJ_0091,2019,Rajasthan,Wheat,Rabi,3.3,29.9,428.0,63.6,7.4,47.6,28.8,191.5,3.3,5.4,185.3,Urea,2.3,Rain-fed,0,Traditional,0.81,2.67
IND_UTT_0092,2019,Uttar Pradesh,Wheat,Rabi,1.49,38.0,628.9,59.4,7.5,38.9,23.4,206.5,3.2,7.2,158.6,NPK,13.9,Sprinkler,34,Desi,1.24,1.85
IND_PUN_0093,2023,Punjab,Cotton,Kharif,10.39,31.0,574.2,67.0,7.1,36.5,18.6,150.5,1.9,6.5,183.8,Mixed,3.8,Canal,15,Traditional,0.41,4.26
IND_MAD_0094,2021,Madhya Pradesh,Maize,Kharif,0.5,23.7,824.0,76.4,8.1,26.7,38.0,184.4,2.5,4.3,211.6,DAP,1.1,Tube well,12,Traditional,0.88,0.44
IND_HAR_0095,2022,Haryana,Cotton,Kharif,12.09,28.2,617.7,84.4,7.7,45.2,26.1,159.8,2.9,7.9,89.8,Organic,6.6,Drip,29,High Yielding Variety,0.45,5.44
IND_BIH_0096,2020,Bihar,Sugarcane,Annual,2.8,25.1,1153.6,61.8,8.5,46.0,7.4,115.4,3.6,6.4,111.0,Mixed,10.8,Sprinkler,29,High Yielding Variety,50.83,142.32
IND_PUN_0097,2022,Punjab,Maize,Kharif,8.42,29.2,442.8,46.7,5.8,40.3,19.8,169.3,3.0,9.8,125.0,NPK,5.9,Canal,15,High Yielding Variety,3.15,26.52
IND_RAJ_0098,2021,Rajasthan,Barley,Rabi,4.09,39.6,547.9,53.0,6.6,18.2,34.0,106.5,2.2,5.9,155.8,Mixed,6.5,Sprinkler,23,Hybrid,0.72,2.94
IND_AND_0099,2018,Andhra Pradesh,Sugarcane,Annual,1.65,35.2,771.1,77.2,6.1,38.7,25.1,164.5,2.7,7.1,121.8,Urea,7.3,Sprinkler,25,Traditional,34.82,57.45
IND_UTT_0100,2020,Uttar Pradesh,Potato,Rabi,7.42,22.6,834.5,59.1,8.5,25.4,33.1,208.7,2.4,8.2,185.1,Organic,6.1,Sprinkler,32,High Yielding Variety,15.15,112.41
IND_HAR_0101,2018,Haryana,Cotton,Kharif,5.67,20.5,474.2,49.9,7.2,25.8,21.9,95.5,3.1,9.0,40.3,Mixed,9.9,Rain-fed,0,Desi,0.19,1.08
IND_PUN_0102,2021,Punjab,Sugarcane,Annual,3.16,34.9,664.7,76.7,7.6,26.5,19.6,169.5,2.9,8.8,83.2,Organic,8.8,Drip,34,Desi,26.14,82.6
IND_PUN_0103,2020,Punjab,Rice,Kharif,7.56,30.1,539.0,51.0,8.2,42.3,11.3,138.9,3.8,8.4,212.8,Mixed,10.0,Sprinkler,18,High Yielding Variety,2.76,20.87
IND_WES_0104,2022,West Bengal,Mustard,Rabi,2.38,23.7,1860.9,80.7,8.1,25.6,9.4,85.7,3.2,6.5,33.9,Urea,9.9,Sprinkler,17,Hybrid,0.59,1.4
IND_TAM_0105,2019,Tamil Nadu,Coconut,Annual,2.99,39.9,1225.7,81.7,7.3,33.8,27.4,139.8,3.0,7.5,93.3,Organic,13.0,Drip,31,Traditional,5.15,15.4
IND_TAM_0106,2021,Tamil Nadu,Maize,Kharif,1.49,27.6,1147.5,75.2,7.2,48.0,23.8,149.1,3.5,8.8,142.3,Urea,8.1,Sprinkler,21,Hybrid,1.59,2.37
IND_MAH_0107,2020,Maharashtra,Jowar,Kharif,0.87,27.4,454.5,56.9,7.3,41.4,19.4,167.0,2.9,4.8,82.4,Urea,7.3,Rain-fed,0,Traditional,0.27,0.23
IND_MAH_0108,2022,Maharashtra,Bajra,Kharif,4.2,32.4,920.2,57.9,8.5,36.8,17.3,128.5,2.6,6.7,126.8,DAP,8.8,Rain-fed,0,Desi,0.27,1.13
IND_TAM_0109,2020,Tamil Nadu,Cotton,Kharif,3.87,29.6,1111.9,84.5,5.0,46.2,9.1,142.1,1.9,4.9,141.7,DAP,11.8,Sprinkler,29,Traditional,0.17,0.66
IND_BIH_0110,2019,Bihar,Sugarcane,Annual,0.5,20.3,1129.9,54.5,7.6,17.3,21.5,149.5,3.3,7.7,81.1,Urea,14.0,Rain-fed,0,Desi,23.76,11.88
IND_KAR_0111,2021,Karnataka,Groundnut,Kharif,2.95,24.0,859.7,67.5,7.0,55.5,9.0,93.5,4.0,6.7,93.2,DAP,13.2,Tube well,23,High Yielding Variety,0.55,1.62
IND_GUJ_0112,2018,Gujarat,Jowar,Kharif,6.65,25.6,804.5,81.6,6.7,43.9,22.4,195.6,4.0,7.4,89.9,Urea,10.3,Rain-fed,0,Desi,0.38,2.53
IND_GUJ_0113,2023,Gujarat,Bajra,Kharif,7.03,20.9,350.9,61.4,6.9,37.2,9.2,116.0,3.8,6.6,78.1,NPK,10.7,Tube well,10,Desi,0.48,3.37
IND_KAR_0114,2023,Karnataka,Ragi,Kharif,4.44,25.4,616.8,83.0,6.5,17.9,32.0,138.7,2.6,8.6,142.2,NPK,10.3,Drip,32,Desi,1.75,7.77
IND_MAD_0115,2022,Madhya Pradesh,Sugarcane,Annual,1.71,41.5,961.1,69.3,8.5,41.1,24.3,187.5,2.5,6.3,78.2,DAP,0.0,Canal,15,Traditional,28.87,49.37
IND_BIH_0116,2023,Bihar,Rice,Kharif,0.79,37.0,1120.3,57.8,7.0,38.7,26.5,180.1,2.3,7.4,131.3,Organic,6.8,Rain-fed,0,High Yielding Variety,1.62,1.28
IND_UTT_0117,2018,Uttar Pradesh,Wheat,Rabi,3.98,33.5,993.7,67.3,7.4,19.4,23.2,127.2,2.4,8.2,169.5,NPK,8.1,Canal,17,Traditional,1.29,5.13
IND_AND_0118,2022,Andhra Pradesh,Sugarcane,Annual,6.4,34.6,805.0,79.5,5.6,44.0,23.0,195.1,3.3,7.1,71.0,Urea,7.0,Tube well,13,Hybrid,26.79,171.46
IND_RAJ_0119,2023,Rajasthan,Maize,Kharif,1.84,31.7,479.9,65.9,6.1,40.3,29.6,128.7,2.7,6.8,88.6,NPK,11.2,Tube well,15,Desi,0.83,1.53
IND_TAM_0120,2021,Tamil Nadu,Rice,Kharif,3.84,29.9,874.4,80.8,6.9,55.7,16.8,157.9,3.5,5.4,49.6,Urea,0.4,Rain-fed,0,Hybrid,1.06,4.07
IND_TAM_0121,2020,Tamil Nadu,Coconut,Annual,1.9,34.6,832.4,90.0,8.5,59.1,36.5,192.3,3.6,7.8,151.1,NPK,5.2,Sprinkler,23,Desi,4.47,8.49
IND_WES_0122,2018,West Bengal,Mustard,Rabi,2.99,22.8,1467.4,80.6,8.1,36.1,31.8,110.0,2.6,6.9,45.3,NPK,7.6,Drip,33,Traditional,0.41,1.23
IND_PUN_0123,2020,Punjab,Maize,Kharif,14.05,35.0,773.2,66.3,6.3,57.2,29.8,170.4,2.6,7.0,105.1,DAP,13.4,Canal,23,Traditional,2.0,28.1
IND_RAJ_0124,2023,Rajasthan,Cotton,Kharif,6.09,20.5,313.0,61.4,5.6,38.9,18.8,133.7,1.5,7.4,98.7,Urea,2.2,Drip,19,High Yielding Variety,0.1,0.61
IND_MAH_0125,2022,Maharashtra,Rice,Kharif,2.94,28.7,983.6,77.7,6.7,40.6,12.0,160.6,3.4,8.7,116.0,NPK,7.0,Tube well,10,Traditional,1.89,5.56
IND_BIH_0126,2019,Bihar,Wheat,Rabi,1.35,36.3,1124.8,69.1,6.5,52.9,17.8,149.3,2.2,4.7,155.4,Mixed,11.7,Rain-fed,0,Traditional,0.43,0.58
IND_GUJ_0127,2020,Gujarat,Bajra,Kharif,3.13,40.6,331.4,65.2,5.8,28.7,26.4,106.1,3.0,5.8,138.7,NPK,7.8,Rain-fed,0,Desi,0.2,0.63
IND_BIH_0128,2021,Bihar,Potato,Rabi,5.33,22.1,1075.6,52.7,6.5,37.4,29.2,114.4,2.8,8.1,147.7,DAP,8.9,Rain-fed,0,Hybrid,8.05,42.91
IND_MAD_0129,2022,Madhya Pradesh,Sugarcane,Annual,1.34,29.0,890.8,60.9,7.6,45.8,5.0,114.7,3.3,9.8,120.8,Mixed,4.4,Sprinkler,15,Traditional,58.04,77.77
